material_id,material_name,material_name_fr,material_category
58,Paper and fabric collage on Xuan paper with medallion and mirror,Papier et collage sur papier Xuan avec medallion et miroir,paintings
59,stencil and spray paint on a the back of a roadsign with collage,Peinture au pochoir et au pistolet à l'arrière d'un panneau avec collage,paintings
60,"oil, acrylic and mixed media on paper mach? with metal support","Huile, acrylique et médias mixtes sur papier mach? Avec support métallique",paintings
61,"oil, gouache and pen and ink on paper laid down on canvas board","Huile, gouache et stylo et encre sur papier sur carton",paintings
62,"oil, photograph, varnish, fake jewelry and hair-bands on canvas","Huile, photographie, vernis, faux bijoux et bandes de cheveux sur toile",paintings
63,acrylic and color grease pencil on Buvard paper laid to canvas,Acrylique et couleur grise crayon sur papier Buvard posé sur toile,paintings
64,oil and tempera on paper on plywood primed with gray-white oil,Huile et trempe sur papier sur du contreplaqué primée avec de l'huile de couleur grise,paintings
65,"photocollage, leaves, acrylic, gouache and resin on wood panel","Photocollage, feuilles, acrylique, gouache et résine sur panneau de bois",paintings
66,"spray paint, acrylic, glitter, glue and paper collage on mylar","Peinture en aérosol, acrylique, paies, colle et collage sur papier sur mylar",paintings
67,"acrylic on canvas behind prehnite panel, montage behind glass","Acrylique sur toile derrière panneau de prehnite, montage derrière verre",paintings
68,acrylic painted sphere attached to black velvet covered board,Sphère peinte en acrylique attachée à la planche couverte de velours noir,paintings
69,"acrylic, silkscreen inks, paper collage and varnish on canvas","Acrylique, encres à sériques, collage sur papier et vernis sur toile",paintings
70,nails and graphite over white acrylic paint on canvas on wood,Les clous et le graphite sur peinture acrylique blanche sur toile sur bois,paintings
71,"oil, gouache, watercolour and decalcomania technique on paper","Huile, gouache, aquarelle et technique de décalcomanie sur papier",paintings
72,paper and canvas collage on newspaper on fabric covered board,Collage sur papier et sur toile sur un journal sur carton recouvert de tissu,paintings
73,"acrylic, crayon, graphite and printed paper collage on paper","Acrylique, crayon, graphite et papier imprimé collage sur papier",paintings
74,oil and acrylic on offset color lithograph on handmade paper,Huile et acrylique sur lithographie de couleur offset sur papier fait à la main,paintings
75,oil and blood on canvas laid down on panel in artist's frame,Huile et sang sur toile posée sur panneau dans le cadre de l'artiste,paintings
76,oil on board relief laid down on the artist's prepared board,Pétrole à bord de l'aide prévue par le tableau de bord de l'artiste,paintings
77,"oil, chalk, ink, color pencil and watercolor on reproduction","Huile, craie, encre, crayon de couleur et aquarelle sur la reproduction",paintings
78,"acrylic, vinyl and spray lacquer on canvas mounted on panel","Laque acrylique, vinylique et vernis sur toile montée sur panneau",paintings
79,"collage, stencil, spray paint, and lacquer on a steel plate","Collage, pochoir, peinture en aérosol et laque sur une plaque d'acier",paintings
80,oil and tempera on paper on board on textured on fiberboard,Huile et tempéra sur papier à bord sur carton sur carton,paintings
81,painted metal pipes and nylon strings on painted wood panel,Tuyaux en métal peints et cordes de nylon sur panneau de bois peint,paintings
82,acrylic and purple pvc foil on canvas in acrylic glass box,Fleuret acrylique et violet pvc sur toile en verre acrylique,paintings
83,"mixed media, steel powder, cotton, poly glue, wooden frame","Milieu mixte, poudre d'acier, coton, colle, cadre en bois",paintings
84,oil and gouache on three sheets of paper laid on cardboard,Huile et gouache sur trois feuilles de papier posées sur carton,paintings
85,"oil on shaped canvas mounted to foamcore on wood, unframed","Huile sur toile en forme de toile, montée sur bois, non encadrée",paintings
86,"distemper, pastel and pencil on paper laid down on canvas","Démonteur, pastel et crayon sur papier sur toile",paintings
87,"mixed media, with sand, overworked on canvas on stretcher","Médias mixtes, avec du sable, surtravaillé sur toile sur civière",paintings
88,oil and petroplastic on amate paper laid down on masonite,Huile et pétroplastique sur papier amé fixé sur la masonite,paintings
89,tempera on cream wove paper mounted on illustration board,Trempe sur papier vélin crème montée sur le tableau d'illustration,paintings
90,white paint and black pigment on red painted wooden board,Peinture blanche et pigment noir sur carton rouge peint en bois,paintings
91,acrylic and resin oil glazes on on fiberboard with paper,Glaçures à l'acrylique et à l'huile de résine sur carton avec papier,paintings
92,oil on canvas laid to masonite and affixed to stretchers,Huile sur toile posée à la masonite et fixée sur des civières,paintings
93,"oil, ink, watercolor and printed paper collage on canvas","Huile, encre, aquarelle et papier imprimé collage sur toile",paintings
94,"oil, oil pastel, watercolor, gouache and pencil on paper","Huile, pastel à l'huile, aquarelle, gouache et crayon sur papier",paintings
95,acrylic and buckets on woven wall hanging by Josep Royo,Acrylique et seaux sur mur tissé par Josep Royo,paintings
96,acrylic and color pencil on rendered and engraved panel,Acrylique et crayon de couleur sur panneau rendu et gravé,paintings
97,acrylic and spraypaint stencil on cast plaster on board,Pochoir acrylique et peinture sur plâtre moulé à bord,paintings
98,"acrylic, felt, canvas, cardboard and pressboard on wood","Acrylique, feutre, toile, carton et presse-papiers sur bois",paintings
99,"acrylic, ink and paper on paper laid down on wood board","Acrylique, encre et papier sur papier posé sur bois",paintings
100,"acrylic, watercolor, solvent transfer on handmade paper","Acrylique, aquarelle, transfert de solvant sur papier fait à la main",paintings
101,"mixed media with oil, tempera and collage on fiberboard","Milieu mixte avec huile, tempéra et collage sur carton",paintings
102,"oil and papier mach? on canvas laid on board, unframed","Huile et papier mach? Sur toile posée à bord, non encadrée",paintings
103,oil on canvas and an assemblage of painted plastic toys,Huile sur toile et assemblage de jouets en plastique peints,paintings
104,oil on canvasboard; mixed media on board on the reverse,Huile sur carton ; supports mixtes à bord au dos,paintings
105,Oil over shellac on three aligned sheets of wove paper.,Huile sur étagères sur trois feuilles alignée de papier vélin.,paintings
106,"oil with pen and ink, on paper laid on canvas, a sketch","Huile avec stylo et encre, sur papier posé sur toile, une esquisse",paintings
107,oil with spackle and synthetic resin on thick cardboard,Huile à spackle et résine synthétique sur carton épais,paintings
108,"oil, spray paint, color pencil and collage on cardboard","Huile, peinture en aérosol, crayon de couleur et collage sur carton",paintings
109,acrylic and silkscreen ink with diamond dust on canvas,Encre à l'acrylique et à l'écran avec de la poussière de diamant sur toile,paintings
110,mixed media with acrylic painting and collage on paper,Médias mixtes avec peinture acrylique et collage sur papier,paintings
111,"nose, hands of wax and handkerchief laid down on board","Nez, mains de cire et mouchoir posé à bord",paintings
112,oil and chalk over screenprint on canvas with cut outs,Huile et craie sur la sérigraphie sur toile avec coupe-outs,paintings
113,oil and manipulated photo on canvas laid down on board,Huile et photo manipulée sur toile posée à bord,paintings
114,oil on canvas in a plexiglas slipcase with screenprint,Huile sur toile en pantoufles en plexiglas avec sérigraphie,paintings
115,oil on formica mounted on panel with tubular aluminium,Huile sur formica montée sur panneau avec aluminium tubulaire,paintings
116,synthetic polymer paint on canvas on composition board,Peinture de polymère synthétique sur toile sur panneau de composition,paintings
117,acrylic and wooden rods on painted wood laid to panel,Barres en acrylique et en bois sur bois peint posé sur panneau,paintings
118,"acrylic, PVC, acrylic glass and mixed media on canvas","Acrylique, PVC, verre acrylique et supports mixtes sur toile",paintings
119,acylic and silkscreen ink on canvas in artist's frame,Encre à l'écran et à l'écran sur toile dans le cadre de l'artiste,paintings
120,"mixed media with glass, plastic and acrylic on canvas","Milieu mixte avec verre, plastique et acrylique sur toile",paintings
121,"mixed media with oil, fabric and collage on cardboard","Médias mixtes avec du pétrole, du tissu et du collage sur carton",paintings
122,oil and mixed media collage on card laid down on card,Collage de l'huile et des médias mixtes sur la carte posée sur la carte,paintings
123,"oil on canvas, pastel, charcoal, and gouache on paper","Huile sur toile, pastel, charbon de bois et gouache sur papier",paintings
124,"oil, gouache, watercolor and pencil on board on board","Huile, gouache, aquarelle et crayon à bord à bord",paintings
125,"oil, paintstick and blood on card laid down on canvas","Huile, paintstick et sang sur carte posée sur toile",paintings
126,"oil, watercolour, wash and pen and India ink on paper","Huile, aquarelle, lavage et stylo et encre de l'Inde sur papier",paintings
127,acrylic and felt-tip pen on paper laid down on panel,Stylo acrylique et feutre sur papier posé sur le panneau,paintings
128,acrylic and paint tubes on canvas laid down on board,Tubes d'acrylique et de peinture sur toile posés à bord,paintings
129,acrylic and spray enamel on canvas in artist's frame,émail acrylique et pulvérisateur sur toile dans le cadre de l'artiste,paintings
130,"acrylic, oilstick, xerox and paper collage on canvas","Acrylique, bâtonnet, xerox et collage sur toile sur toile",paintings
131,natural earth pigments and synthetic binder on linen,Pigments de terre naturelle et reliure synthétique en lin,paintings
132,oil and photo transfer on canvas laid down on canvas,Transfert de pétrole et de photo sur toile posée sur toile,paintings
133,"oil, gouache, ink and soil on creased blotting paper","Huile, gouache, encre et sol sur papier de buvardage plié",paintings
134,"oil, tempera and gold bronze on cardboard on Pavatex","Huile, tempéra et or bronze sur carton sur Pavatex",paintings
135,"oil, watercolor, oil pastels and black ink on canvas","Huile, aquarelle, pastels à l'huile et encre noire sur toile",paintings
136,synthetic polymer paint and silkscreen ink on canvas,Peinture de polymère synthétique et encre à sérieule sur toile,paintings
137,tempera on canvas laid on board studded with buttons,Tempera sur toile posée à bord des boutons avec des boutons,paintings
138,tempera on newspaper laid down on the artist's mount,Tempera sur le journal établi sur le montage de l'artiste,paintings
139,"acrylic, card and paper collage laid down on canvas","Un collage en acrylique, en carton et en papier sur toile",paintings
140,"acrylic, graphite, gold leaf and graphite on canvas","Acrylique, graphite, feuille d'or et graphite sur toile",paintings
141,"acrylic, ink, spraypaint and paper collage on mylar","Acrylique, encre, peinture et collage sur papier sur mylar",paintings
142,"ceramic with black slip, overworked with blue glaze","Céramique avec glissement noir, surtravaillé avec glaçure bleue",paintings
143,"mixed media: collage, oil, and tempera on cardboard","Médias mixtes: collage, huile et tempéra sur carton",paintings
144,oil and canvas collage on canvas laid down on board,Collage de pétrole et de toile sur toile posée à bord,paintings
145,"oil stick, dry pigment, water and charcoal on paper","Bâton d'huile, pigment sec, eau et charbon de bois sur papier",paintings
146,"oil, black ink and pencil on paper mounted on board","Huile, encre noire et crayon sur papier monté à bord",paintings
147,"oil, sand and canvas collage mounted on canvasboard","Collage de pétrole, de sable et de toile monté sur un panneau de bord",paintings
148,acrylic and mixed media on photo-sensitized canvas,Media acrylique et mixte sur toile photosensibilisée,paintings
149,acrylic and oilstick and paper collage on masonite,Acrylique et collet et collage sur papier sur masonite,paintings
150,acrylic and paint tubes on canvas mounted on panel,Tubes acryliques et de peinture sur toile montés sur panneau,paintings
151,acrylic and silkscreen on canvas in artist's frame,Acrylique et sériole sur toile dans le cadre de l'artiste,paintings
152,"acrylic, resin on Novopan board with a paper label","Acrylique, résine sur carton Novopan avec une étiquette en papier",paintings
153,"acrylic, silkscreen ink and diamond dust on canvas","Acrylique, encre à sériques et poussière de diamant sur toile",paintings
154,mixed media on Plexiglas and printed paper collage,Médias mixtes sur le Plexiglas et le collage papier imprimé,paintings
155,oil on canvas laid on oak panel on uncradled board,Huile sur toile posée sur panneau de chêne sur carton non berté,paintings
156,oil on canvasboard; oil on canvas mounted on board,Huile sur carton ; huile sur toile montée à bord,paintings
157,oil tint & vinyl paint on black & white photograph,Teinte à l'huile et peinture en vinyle sur photographie en noir et blanc,paintings
158,"oil, bondo, epoxy, wax and ceramic plates on panel","Huile, bondo, époxy, cire et plaques céramiques sur panneau",paintings
159,"oil, oil chalk and graphite over photo on aluminum","Huile, craie de pétrole et graphite sur photo en aluminium",paintings
160,"oil, pencil and gouache on paper mounted on canvas","Huile, crayon et gouache sur papier monté sur toile",paintings
161,"oil, pencil, silver point and Washi paper on panel","Huile, crayon, point d'argent et papier Washi sur panneau",paintings
162,"Acrylic and gold leaf on canvas, mounted on panel","Feuille d'or et acrylique sur toile, montée sur panneau",paintings
163,acrylic and ink on postage stamps pasted on board,Acrylique et encre sur timbres-poste collés à bord,paintings
164,"acrylic, Day-Glo acrylic and Roll-A-Tex on canvas","Acrylique, Day-Glo acrylique et Roll-A-Tex sur toile",paintings
165,"acrylic, watercolour and coloured chalks on paper","Acrylique, aquarelle et craie colorée sur papier",paintings
166,enamel and oil on canvasboard mounted on foamcore,émail et huile sur carton monté sur foamcore,paintings
167,oil and synthetic polymer paint on paper on board,Peinture à l'huile et aux polymères synthétiques sur papier à bord,paintings
168,"oil with fabric, thread and window pull on canvas","Huile avec tissu, fil et fenêtre tirer sur toile",paintings
169,"oil, chalk, graphite and ink on thin butter paper","Huile, craie, graphite et encre sur papier à beurre mince",paintings
170,"oil, gold leaf paper collage and pencil on canvas","Huile, collage sur papier feuille d'or et crayon sur toile",paintings
171,"photographs, pastel and pencil on paper with text","Photographies, pastel et crayon sur papier avec texte",paintings
172,silkscreen ink on mylar and colored paper collage,Encre à sérier sur mylar et collage en papier coloré,paintings
173,"stencil, spray paint, and lacquer on a steel door","Pochoir, peinture en aérosol et laque sur une porte en acier",paintings
174,tempera and watercolor on paper laid down on card,Tempéra et aquarelle sur papier sur carton,paintings
175,tempera over brown and black ink on paper on wood,Tempa sur de l'encre brune et noire sur du papier sur bois,paintings
176,acrylic and printed paper collage on heavy paper,Collage en papier acrylique et imprimé sur papier lourd,paintings
177,"black ink, colored gouache and oil on wood panel","Encre noire, gouache colorée et huile sur panneau de bois",paintings
178,blood and traces of red paint on paper on canvas,Sang et traces de peinture rouge sur papier sur toile,paintings
179,"egg tempera, gouache and wax crayon on cardboard","Tempera d'oeuf, gouache et crayon de cire sur carton",paintings
180,"mixed media, acrylic and collage on wood trellis","Médias mixtes, acrylique et collage sur bois trellis",paintings
181,oil and enamel on cardboard on composition board,Huile et émail sur carton sur carton de composition,paintings
182,oil and mixed media on canvas laid down on board,Huile et supports mixtes sur toile posée à bord,paintings
183,oil and mixed media on paper laid down on canvas,Huile et supports mixtes sur papier sur toile,paintings
184,oil on linen-finish paper laid down on cardboard,Huile sur papier de fin de lin posé sur carton,paintings
185,oil on oak panel on uncradled board en brunaille,Huile sur panneau de chêne sur carton non berbé en brunaille,paintings
186,"oil, sand, and gouache on paper mounted on board","Huile, sable et gouache sur papier monté à bord",paintings
187,stencil and spraypaint and lacquer on a roadsign,Le pochoir et la peinture et la laque sur un panneau de signalisation,paintings
188,synthetic polymer paint and gouache on hardboard,Peinture polymère synthétique et gouache sur carton rigide,paintings
189,tattooed pig skin in the original artist's frame,Peau de cochon tatoué dans le cadre original de l'artiste,paintings
190,violin parts and acrylic on canvas laid to panel,Pièces de violon et acrylique sur toile posée sur panneau,paintings
191,acrylic and spraypaint stencil on primed canvas,Pochoir acrylique et peinture sur toile primée,paintings
192,acrylic with metal rods on canvas laid to panel,Acrylique avec baguettes métalliques sur toile posée sur panneau,paintings
193,"egg tempera, gouache and wax chalk on cardboard","Trempe d'oeuf, gouache et craie de cire sur carton",paintings
194,mixed media with oil on paper on thin cardboard,Milieu mixte avec huile sur papier sur carton mince,paintings
195,oil on prepared walnut panel on uncradled board,Huile sur panneau de noyer préparé sur carton non-bertonnier,paintings
196,oil stick on hessian and mother of pearl shells,Bâton d'huile sur hessian et mère de coquilles de perles,paintings
197,"oil, acrylic, marble grain and enamel on canvas","Huile, acrylique, grains de marbre et émail sur toile",paintings
198,"sprayed paint, collage and bullet holes on wood","Peinture pulvérisée, collage et trous de balle sur bois",paintings
199,synthetic polymer paint and gold leaf on canvas,Peinture polymère synthétique et feuille d'or sur toile,paintings
200,acrylic and collage on paper mounted on canvas,Acrylique et collage sur papier monté sur toile,paintings
201,acrylic on masonite panel and plastic elements,Acrylique sur panneau masonite et éléments en plastique,paintings
202,"acrylic, watercolor and colored chalk on paper","Acrylique, aquarelle et craie colorée sur papier",paintings
203,mixed media with oil on thick paper on plywood,Milieu mixte avec huile sur papier épais sur contreplaqué,paintings
204,"mixed media with oil, lime and twine on burlap","Mélange de milieux avec de l'huile, de la chaux et de la ficelle",paintings
205,oil and corrugated cardboard collage on canvas,Huile et collage carton ondulé sur toile,paintings
206,oil and pencil on paper laid down on cardboard,Huile et crayon sur papier sur carton,paintings
207,"oil and tempera on pinewood panel, gold ground","Huile et tempéra sur panneau de pin, sol d'or",paintings
208,"oil on paper laid down on canvas, en grisaille","Huile sur papier sur toile, en grisaille",paintings
209,"oil, tempera and pencil on board laid on panel","Huile, tempéra et crayon à bord posé sur panneau",paintings
210,"oil, watercolour and wash over pencil on paper","Huile, aquarelle et lavage au crayon sur papier",paintings
211,tempera and mixed media on paper on fiberboard,Tempa et médias mixtes sur papier sur carton,paintings
212,acrylic and mixed media on wood and cardboard,Presse acrylique et mixte sur bois et carton,paintings
213,acrylic and printed paper collage on masonite,Collage sur papier acrylique et imprimé sur masonite,paintings
214,"Acrylic, enamel, textiles and paper on canvas","Acrylique, émail, textiles et papier sur toile",paintings
215,"acrylic, paintstick and paper collage on wood","Acrylique, collet et collage sur papier sur bois",paintings
216,"acrylic, resin oil on novoplan board on paper","Acrylique, huile de résine sur carton de novoplan sur papier",paintings
217,"acrylic, watercolour and lead pencil on paper","Acrylique, aquarelle et crayon de plomb sur papier",paintings
218,decollage on canvas using the original poster,Décollage sur toile à l'aide de l'affiche originale,paintings
219,mixed media on cotton sheet laid down on wood,Presse mixte sur la feuille de coton posée sur le bois,paintings
220,oil and gouache over lithograph on thin paper,Huile et gouache sur lithographie sur papier mince,paintings
221,oil and ink wash on board laid down on canvas,Lavage à l'huile et à l'encre à bord posé sur toile,paintings
222,oil and silverground on paper laid onto board,Huile et terre d'argent sur papier posé à bord,paintings
223,oil on canvas with polyurethane and found art,Huile sur toile avec polyuréthane et art trouvé,paintings
224,"oil on canvas, partially laid down onto board","Huile sur toile, partiellement mise à bord",paintings
225,"oil on oak panel on a single, uncradled board",Huile sur panneau de chêne sur une seule et unique planche,paintings
226,"oil, enamel, tar, gold, silver leaf on canvas","Huile, émail, goudron, or, feuille d'argent sur toile",paintings
227,"oil, marker pen, glue, paper sheets on canvas","Huile, marqueur, colle, feuilles de papier sur toile",paintings
228,"oil, resin, and mixed media collage on canvas","Le collage de l'huile, de la résine et des médias mixtes sur toile",paintings
229,painted wood mixed media composition on panel,Composition en bois peint mixte sur panneau,paintings
230,"pills, hemp leaves, acrylic and resin on wood","Pilules, feuilles de chanvre, acrylique et résine sur bois",paintings
231,tempera on textured paper laid down on canvas,Tempera sur papier texturé posé sur toile,paintings
232,acrylic over photographic transfer on canvas,Acrylique sur transfert photographique sur toile,paintings
233,"acrylic, silkscreen print on canvas, collage","Acrylique, sériole imprimé sur toile, collage",paintings
234,"Beluga caviar, acrylic and shellac on canvas","Beluga caviar, acrylique et shellac sur toile",paintings
235,"Emulsion paint on linen, mounted on masonite","Peinture d'émulsion sur lin, montée sur masonite",paintings
236,"enamel, pastel, oilstick and pencil on linen","émail, pastel, bâtonnet et crayon sur lin",paintings
237,"mixed media with sand, oil and wax on canvas","Milieu mixte avec du sable, de l'huile et de la cire sur toile",paintings
238,oil and gouache on paper laid down on canvas,Huile et gouache sur papier sur toile,paintings
239,oil and silverground on canvas laid on panel,Huile et moulé sur toile sur toile posée sur panneau,paintings
240,oil and tempera on canvas laid down on board,Huile et tempéra sur toile posée à bord,paintings
241,oil on canvas with acrylic and playing cards,Huile sur toile avec acrylique et cartes à jouer,paintings
242,oil on linen laid down on the artist's mount,Huile sur le linge posé sur le monture de l'artiste,paintings
243,"oil, oil stick and pencil on lacquered paper","Huile, bâtonnet de pétrole et crayon sur papier laqué",paintings
244,"paper collage, pastel and charcoal on canvas","Collage sur papier, pastel et fusain sur toile",paintings
245,resin oil and egg tempera on canvas on board,Huile de résine et tempéra d'œuf sur toile à bord,paintings
246,synthetic paint on paper laid down on canvas,Peinture synthétique sur papier sur toile,paintings
247,acrylic and collage on canvas laid to panel,Acrylique et collage sur toile posée sur panneau,paintings
248,acrylic and collage on paper laid on canvas,Acrylique et collage sur papier sur toile,paintings
249,acrylic and spraypaint stencil on cardboard,Pochoir acrylique et peinture sur carton sur carton,paintings
250,acrylic on wood panel with plastic elements,Acrylique sur panneau en bois avec éléments en plastique,paintings
251,"acrylic, oil, sand, and Styrofoam on canvas","Acrylique, huile, sable et polystyrène sur toile",paintings
252,black and white photograph on painted panel,Photographie noir et blanc sur panneau peint,paintings
253,lacquer on cardboard on canvas on cardboard,Laque sur carton sur carton sur carton,paintings
