auction_house_name,auction_location,auction_num,auction_start_date,auction_end_date,auction_name,lot_num,sublot_num,price_kind,price_estimate_min,price_estimate_max,price_sold,artist_name,artist_birth,artist_death,artist_nationality,artwork_name,artwork_year_identifier,artwork_start_year,artwork_end_year,artwork_materials,artwork_category,artwork_markings,artwork_edition,artwork_description,artwork_measurements_height,artwork_measurements_width,artwork_measurements_depth,artwork_size_notes,auction_measureunit,artwork_condition_in,artwork_provenance,artwork_exhibited,artwork_literature,artwork_images1,artwork_images2,artwork_images3,artwork_images4,artwork_images5,image1_name,image2_name,image3_name,image4_name,image5_name,lot_origin_url
"Piasa","Paris","562","2022-11-30","","American Design","118","","price realized","5000","7000","10400","Danny Ho Fong","1915","1992","","Set of one table and six stools","","",""," Iron and caning ","material_category","","","<strong><br>Description<br></strong>Danny Ho Fong (1915-1992)  Set of one table and six stools  Iron and caning  Model created in 1959  H 66 × L 188 × W 76 cm (table)  H 40,5 × L 38 × W 38 cm (stools)","38 cm","","","38 cm","","","","","","https://www.piasa.fr/catalog/images/2040/118_1.jpg","https://www.piasa.fr/catalog/images/2040/118_2.jpg","https://www.piasa.fr/catalog/images/2040/118_3.jpg","","","562__Danny_Ho_Fong__118_a.jpg","562__Danny_Ho_Fong__118_b.jpg","562__Danny_Ho_Fong__118_c.jpg","","","https://www.piasa.fr/en/products/danny-ho-fong-1915-1992-ensemble-dune-table-et-six-tabourets_6364ed0eeb5ae7.56885187",
"Piasa","Paris","562","2022-11-30","","American Design","119","","price realized","4000","6000","0","Isamu Noguchi","1904","1988","","Akari series - Model H","","",""," Washi paper, bamboo and metal ","material_category","","","<strong><br>Description<br></strong>Isamu Noguchi (1904-1988)  Akari series - Model H  Suspension  Washi paper, bamboo and metal  Edited by Ozeki & Co  ‘Sun and moon’ ideogram  Model created in 1961  H 165 × Ø 54 cm","54 cm","","","54 cm","","","","","","https://www.piasa.fr/catalog/images/2040/119_1.jpg","","","","","562__Isamu_Noguchi__119_a.jpg","","","","","https://www.piasa.fr/en/products/isamu-noguchi-1904-1988-serie-akari-modele-h_6364ed0ef212d0.24877829",
"Piasa","Paris","562","2022-11-30","","American Design","120","","price realized","5000","7000","24700","","","","","","","","","","","","","<strong><br>Description<br></strong>Kittinger Furniture Company (20th-21 st c.)  Model T151, 'Kaleidoscope'    21    Modular coffee table  Mahogany  'Kittinger - Buffalo' label and stamp  Model created in the 1950s  H 43,5 × Ø 147,5 cm (in this configuration)  H 43,5 × L 65 × W 56 cm (each module)","56 cm","","","56 cm","","","","","","https://www.piasa.fr/catalog/images/2040/120_1.jpg","https://www.piasa.fr/catalog/images/2040/120_2.jpg","","","","562____120_a.jpg","562____120_b.jpg","","","","https://www.piasa.fr/en/products/kittinger-furniture-company-xx-xxi-modele-t151-dite-kaleidoscope_6364ed0f0304a1.17345046",
"Piasa","Paris","562","2022-11-30","","American Design","121","","price realized","10000","15000","0","Russel Wright","1904","1976","","Fire Deer","","",""," Pair of andirons ","material_category","","","<strong><br>Description<br></strong>Russel Wright (1904-1976)  Fire Deer  Pair of andirons  Hand-wrought black iron  Model created in 1930  H 39 × L 15 × W 53 cm  Bibliography: A. Kerr, 'The Collector's  Encyclopedia of Russel Wright Designs',  Ed. Collector's Books, Paducah, Kentucky, 1990,  similar model p. 25","53 cm","","","53 cm","","","","","","https://www.piasa.fr/catalog/images/2040/121_1.jpg","https://www.piasa.fr/catalog/images/2040/121_2.jpg","https://www.piasa.fr/catalog/images/2040/121_3.jpg","","","562__Russel_Wright__121_a.jpg","562__Russel_Wright__121_b.jpg","562__Russel_Wright__121_c.jpg","","","https://www.piasa.fr/en/products/russel-wright-1904-1976-fire-deer_6364ed0f0929d2.61522813",
"Piasa","Paris","562","2022-11-30","","American Design","122","","price realized","8000","12000","0","Frank Lloyd Wright","1959","","","and Warren McArthur (","","",""," Iron and copper ","material_category","","","<strong><br>Description<br></strong>Frank Lloyd Wright (1867-1959)  and Warren McArthur (1885–1961)  Planter  Iron and copper  Model created in 1928  H 189 × L 76 × W 76 cm  Created for the Arizona Biltmore Hotel,  Phoenix, Arizona, USA","76 cm","","","76 cm","","","","","","https://www.piasa.fr/uploads/114500_638483f51bf952.40140385.jpg","https://www.piasa.fr/uploads/72547_6384840611b711.67632702.jpg","https://www.piasa.fr/uploads/369024_6384840c5a18d0.83101754.jpg","","","562__Frank_Lloyd_Wright__122_a.jpg","562__Frank_Lloyd_Wright__122_b.jpg","562__Frank_Lloyd_Wright__122_c.jpg","","","https://www.piasa.fr/en/products/frank-lloyd-wright-1867-1959-et-warren-mcarthur-18851961_6364ed0f102793.67280270",
"Piasa","Paris","562","2022-11-30","","American Design","123","","price realized","30000","40000","0","George Nakashima","1905","1990","","Kent Hall model - Special order","","",""," parchment ","material_category","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Kent Hall model - Special order  Floor lamp  English walnut burl, holly, laurel and  parchment  Model created in 1972  H 124,5 × Ø 34 cm  Special order for Mr. Robert L. Hart,  New Hyde Park, New York, USA  The buyer can be provided with a copy of the original drawing and of the original order slip.","34 cm","","","34 cm","","","","","","https://www.piasa.fr/uploads/george-nakashima-1905-1990-modele-kent-hall-comman_337084_637f418e524c82.59660871.jpg","https://www.piasa.fr/uploads/george-nakashima-1905-1990-modele-kent-hall-comman_358166_637f418e5771d4.55615107.jpg","https://www.piasa.fr/uploads/george-nakashima-1905-1990-modele-kent-hall-comman_376621_637f418e5bf359.76148573.jpg","","","562__George_Nakashima__123_a.jpg","562__George_Nakashima__123_b.jpg","562__George_Nakashima__123_c.jpg","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-modele-kent-hall-commande-speciale_6364ed0f184107.36237564",
"Piasa","Paris","562","2022-11-30","","American Design","124","","price realized","15000","20000","0","George Nakashima","1905","1990","","Table lamp - Unique piece","","",""," Buckeye wood burl, holly, walnut and parchment ","material_category","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Table lamp - Unique piece  Buckeye wood burl, holly, walnut and parchment  Model created in the 1980s  H 65,5 × Ø 33,5 cm  The buyer can be provided with an authentication letter by Mrs. Mira Nakashima.  Bibliography: G. Nakashima, 'The soul of a tree,  a woodworker's reflections', Ed. Kodansha,  New York, 2011, similar model pp. 186-187","33,5 cm","","","33,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/124_1.jpg","https://www.piasa.fr/catalog/images/2040/124_2.jpg","","","","562__George_Nakashima__124_a.jpg","562__George_Nakashima__124_b.jpg","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-lampe-de-table-piece-unique_6364ed0f1f6fd3.83839879",
"Piasa","Paris","562","2022-11-30","","American Design","125","","price realized","30000","40000","0","George Nakashima","1905","1990","","Cabinet - Special order","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Cabinet - Special order  Walnut and pandanus  Model created in 1958  H 81 × L 152 × W 56 cm  Special order for Mrs. Judith Weo, New  York, New York, USA  The buyer can be provided with a copy of the original order slip.","56 cm","","","56 cm","","","","","","https://www.piasa.fr/catalog/images/2040/125_1.jpg","https://www.piasa.fr/catalog/images/2040/125_2.jpg","https://www.piasa.fr/catalog/images/2040/125_3.jpg","","","562__George_Nakashima__125_a.jpg","562__George_Nakashima__125_b.jpg","562__George_Nakashima__125_c.jpg","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-cabinet-commande-speciale_6364ed0f2534e0.28861689",
"Piasa","Paris","562","2022-11-30","","American Design","126","","price realized","7000","9000","10400","George Nakashima","1905","1990","","New chair rocker - Special order","","",""," a woodworker's reflections', Ed. Kodansha, ","material_category","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  New chair rocker - Special order  Rocking chair  Walnut and white walnut  Bears the purchaser’s name  Model created in 1968  H 81 × L 62 × W 71 cm  Special order for Mr. Edward Bogosian,  Upper Darby, Pennsylvania, USA  The buyer can be provided with a copy of the original order slip.  Bibliography: G. Nakashima, 'The soul of a tree,  a woodworker's reflections', Ed. Kodansha,  New-York, 2011, drawing for a similar model","71 cm","","","71 cm","","","","","","https://www.piasa.fr/catalog/images/2040/126_1.jpg","https://www.piasa.fr/catalog/images/2040/126_2.jpg","https://www.piasa.fr/catalog/images/2040/126_3.jpg","","","562__George_Nakashima__126_a.jpg","562__George_Nakashima__126_b.jpg","562__George_Nakashima__126_c.jpg","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-new-chair-rocker-commande-speciale_6364ed0f2c6931.92929829",
"Piasa","Paris","562","2022-11-30","","American Design","127","","price realized","8000","12000","27300","George Nakashima","1905","1990","","Greenrock - Special order","","",""," a woodworker's reflections', Ed. Kodansha, ","material_category","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Greenrock - Special order  Side table  Walnut  Model created in 1964  H 43 × L 43 × W 43 cm  Special order for Mrs. Norbert Reinert,  Wilmington, Delaware, US  The buyer can be provided with a copy of the original order slip.  Bibliography: G. Nakashima, 'The soul of a tree,  a woodworker's reflections', Ed. Kodansha,  New York, 2011, similar model pp. 190-191","43 cm","","","43 cm","","","","","","https://www.piasa.fr/catalog/images/2040/127_1.jpg","https://www.piasa.fr/catalog/images/2040/127_2.jpg","https://www.piasa.fr/catalog/images/2040/127_3.jpg","","","562__George_Nakashima__127_a.jpg","562__George_Nakashima__127_b.jpg","562__George_Nakashima__127_c.jpg","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-greenrock-commande-speciale_6364ed0f339853.72282991",
"Piasa","Paris","562","2022-11-30","","American Design","128","","price realized","25000","35000","32500","George Nakashima","1905","1990","","Slab - Special order","","",""," Bibliography: G. Nakashima, 'The soul of a tree, a woodworker's reflections', Ed. Kodansha, New York, 2011, drawing p. 188","material_category","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Slab - Special order  Coffee table  Walnut  Inscribed with the purchaser's name  Model created in 1958  H 36 × L 187 × W 67 cm  Special order for Mrs. D. Anastasio, Jamaica, New York, USA.  The buyer will be provided with a copy of the original purchase slip.  Bibliography: G. Nakashima, 'The soul of a tree, a woodworker's reflections', Ed. Kodansha, New York, 2011, drawing p. 188","67 cm","","","67 cm","","","","","","https://www.piasa.fr/catalog/images/2040/128_1.jpg","https://www.piasa.fr/catalog/images/2040/128_2.jpg","https://www.piasa.fr/catalog/images/2040/128_3.jpg","https://www.piasa.fr/catalog/images/2040/128_4.jpg","","562__George_Nakashima__128_a.jpg","562__George_Nakashima__128_b.jpg","562__George_Nakashima__128_c.jpg","562__George_Nakashima__128_d.jpg","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-modele-slab-commande-speciale_6364ed0f3a6c93.39328032",
"Piasa","Paris","562","2022-11-30","","American Design","129","","price realized","15000","20000","19500","George Nakashima","1905","1990","","Desk - Unique piece","","",""," Cherrywood ","material_category","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Desk - Unique piece  Cherrywood  Model created in 1969  H 72,5 × L 148 × W 70 cm  The buer can be provided with a copy of Mira Nakashima’s authentication letter.","70 cm","","","70 cm","","","","","","https://www.piasa.fr/catalog/images/2040/129_1.jpg","https://www.piasa.fr/catalog/images/2040/129_2.jpg","","","","562__George_Nakashima__129_a.jpg","562__George_Nakashima__129_b.jpg","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-bureau-piece-unique_6364ed0f41e2f1.25661316",
"Piasa","Paris","562","2022-11-30","","American Design","130","","price realized","15000","20000","39000","","","","","","","","","","","Signed, dated 'CA 75' and numbered '10/100' ","","<strong><br>Description<br></strong>Alexander Calder (1898-1976), after  Tapestry - N°10/100  Jute  Limited edition of 100  Signed, dated 'CA 75' and numbered '10/100'  Model created in 1975  186,5 × 244 cm","244 cm","","","244 cm","","","","","","https://www.piasa.fr/catalog/images/2040/130_1.jpg","https://www.piasa.fr/catalog/images/2040/130_2.jpg","","","","562____130_a.jpg","562____130_b.jpg","","","","https://www.piasa.fr/en/products/alexander-calder-1898-1976-dapres-tapisserie-n010100_6364ed0f484860.84556833",
"Piasa","Paris","562","2022-11-30","","American Design","131","","price realized","15000","20000","29900","","","","","","","","","","","Signed, dated 'CA 75' and numbered 'AP10' ","","<strong><br>Description<br></strong>Alexander Calder (1898-1976), after  Tapestry - Artist’s proof N°10  Jute  Limited edition of 100  Signed, dated 'CA 75' and numbered 'AP10'  Model created in 1975  142 × 213 cm","213 cm","","","213 cm","","","","","","https://www.piasa.fr/uploads/alexander-calder-1898-1976-dapres-tapisserie-epreu_17584_637f416a044b81.16917514.jpg","https://www.piasa.fr/uploads/alexander-calder-1898-1976-dapres-tapisserie-epreu_38829_637f416a097bf8.48522184.jpg","","","","562____131_a.jpg","562____131_b.jpg","","","","https://www.piasa.fr/en/products/alexander-calder-1898-1976-dapres-tapisserie-epreuve-dartiste-n010_6364ed0f4dfaa0.89474058",
"Piasa","Paris","562","2022-11-30","","American Design","132","","price realized","15000","20000","40300","","","","","","","","","","","Signed, dated 'CA 74' and numbered 'AP 9' ","","<strong><br>Description<br></strong>Alexander Calder (1898-1976), after  Tapestry - Artist’s proof N°9  Jute  Limited edition of 100  Signed, dated 'CA 74' and numbered 'AP 9'  Model created in 1974  142 × 213 cm","213 cm","","","213 cm","","","","","","https://www.piasa.fr/catalog/images/2040/132_1.jpg","https://www.piasa.fr/catalog/images/2040/132_2.jpg","","","","562____132_a.jpg","562____132_b.jpg","","","","https://www.piasa.fr/en/products/alexander-calder-1898-1976-dapres-tapisserie-epreuve-dartiste-n09_6364ed0f548c13.00383182",
"Piasa","Paris","562","2022-11-30","","American Design","133","","price realized","15000","20000","58500","","","","","","","","","","","Alexander Calder (1898-1976), after
Three Concentric Circles - Artist’s proof
Tapestry
Jute
Limited edition of 100
Signed and dated 'Calder 74' and monogrammed 'C'
Model created in 1974
144,5 × 220,5 cm","","<strong><br>Description<br></strong>Alexander Calder (1898-1976), after Three Concentric Circles - Artist’s proof Tapestry Jute Limited edition of 100 Signed and dated 'Calder 74' and monogrammed 'C' Model created in 1974 144,5 × 220,5 cm","220,5 cm","","","220,5 cm","","","","","","https://www.piasa.fr/uploads/calder-concentric-2040_540226_6384e7ef83e498.93028562.jpg","","","","","562____133_a.jpg","","","","","https://www.piasa.fr/en/products/calder-concentric-2040",
